"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.434,-0.2685546875,
0.4345,-0.419921875,
0.435,-0.52734375,
0.4355,-0.595703125,
0.436,-0.703125,
0.4365,-0.91796875,
0.437,-1.162109375,
0.4375,-1.264648438,
0.438,-1.166992188,
0.4385,-0.9716796875,
0.439,-0.791015625,
0.4395,-0.6494140625,
0.44,-0.5078125,
0.4405,-0.3369140625,
0.441,-0.09765625,
0.4415,0.185546875,
0.442,0.380859375,
0.4425,0.3857421875,
0.443,0.2587890625,
0.4435,0.146484375,
0.444,0.13671875,
0.4445,0.17578125,
0.445,0.1953125,
0.4455,0.17578125,
0.446,0.126953125,
0.4465,0.09765625,
0.447,0.17578125,
0.4475,0.380859375,
0.448,0.56640625,
0.4485,0.615234375,
0.449,0.5322265625,
0.4495,0.4296875,
0.45,0.3662109375,
0.4505,0.3173828125,
0.451,0.21484375,
0.4515,0.029296875,
0.452,-0.263671875,
0.4525,-0.5908203125,
0.453,-0.7958984375,
0.4535,-0.830078125,
0.454,-0.791015625,
0.4545,-0.80078125,
0.455,-0.8447265625,
0.4555,-0.8544921875,
0.456,-0.76171875,
0.4565,-0.576171875,
0.457,-0.3564453125,
0.4575,-0.1904296875,
0.458,-0.1708984375,
0.4585,-0.25390625,
0.459,-0.2880859375,
0.4595,-0.2197265625,
0.46,-0.13671875,
0.4605,-0.126953125,
0.461,-0.1904296875,
0.4615,-0.244140625,
0.462,-0.205078125,
0.4625,-0.029296875,
0.463,0.2587890625,
0.4635,0.546875,
0.464,0.703125,
0.4645,0.76171875,
0.465,0.83984375,
0.4655,0.9765625,
0.466,1.098632812,
0.4665,1.098632812,
0.467,0.95703125,
0.4675,0.7177734375,
0.468,0.4638671875,
0.4685,0.2880859375,
0.469,0.2197265625,
0.4695,0.17578125,
0.47,0.048828125,
0.4705,-0.1171875,
0.471,-0.205078125,
0.4715,-0.1611328125,
0.472,-0.0439453125,
0.4725,0.048828125,
0.473,0.05859375,
0.4735,-0.0341796875,
0.474,-0.1806640625,
0.4745,-0.2783203125,
0.475,-0.2783203125,
0.4755,-0.2783203125,
0.476,-0.3759765625,
0.4765,-0.546875,
0.477,-0.673828125,
0.4775,-0.68359375,
0.478,-0.5712890625,
0.4785,-0.380859375,
